,2w1a_a,1gcw_a,1c01_a,1l6r_a,3p1a_a,6ldp_a,3r1a_a,2ocj_a,2r1a_a,3f1a_a,2u1a_a,1s7m_a,2x1a_a,1j3h_a,1g65_a,1n1d_a,1mbd_a,1y3a_a,3a1a_a,1b10_a,3l1a_a,3o1a_a,3k1a_a,2v1a_a,2c3a_a,3t1a_a,3d1a_a,2j1a_a,1e8x_a,2y1a_a,1g8a_a,1d7b_a,1qm0_a,2a2a_a,2n1a_a,3c1a_a,3w1a_a,2g1a_a,1jj2_b,1ag2_a,2z1a_a,3n1a_a,3i1a_a,1t8a_a,2l1a_a,3exj_a,1m4r_a,3s1a_a,1byq_a,1bz0_a,1i31_a,1dx0_a,4nfb_a,1b9v_a,1a3n_a,2h1a_a,1tup_c,3g1a_a,1v3a_a,1u2b_a,3m1a_a,3h1a_a,5fhx_a,1f2a_a,1csn_a,1out_a,1uw3_a,2f1a_a,1x2a_a,3j1a_a,1qg3_a,1w4a_a
2u1a_a,8.75106430053711,10.6629056930542,9.982295989990234,11.660622596740723,9.223627090454102,6.706228733062744,6.526477813720703,12.020862579345703,15.327791213989258,5.106598854064941,5.963630087535421e-07,3.564394950866699,5.358592987060547,6.191581726074219,9.84216594696045,8.822025299072266,11.167539596557617,6.906662464141846,5.828392028808594,3.718855381011963,11.515182495117188,7.93831205368042,5.319948673248291,13.426523208618164,14.706011772155762,7.743834972381592,6.203556537628174,3.3891477584838867,5.394763946533203,4.646533489227295,13.330353736877441,7.001423358917236,4.088634014129639,10.44754409790039,9.299765586853027,15.79164981842041,5.6101393699646,10.193111419677734,9.034738540649414,12.427351951599121,7.109645843505859,7.097254276275635,13.093144416809082,12.40474796295166,8.682756423950195,11.917007446289062,8.625371932983398,10.43903636932373,14.045701026916504,10.688371658325195,10.299580574035645,3.0742435455322266,6.153554439544678,4.976385116577148,11.831015586853027,5.406377792358398,7.00219202041626,11.96593952178955,8.673829078674316,8.075162887573242,7.648316383361816,6.952713966369629,11.871255874633789,10.11894702911377,10.786552429199219,5.600890159606934,3.3940846920013428,10.793283462524414,9.980658531188965,5.203031539916992,9.915654182434082,12.140240669250488
1s7m_a,9.924012184143066,6.0375494956970215,7.774272918701172,8.192048072814941,4.328835487365723,4.243407249450684,5.2693071365356445,12.23188304901123,9.717789649963379,9.003874778747559,3.564394950866699,6.862020995868079e-08,13.032454490661621,6.0980119705200195,8.060005187988281,4.870107650756836,6.7940239906311035,7.411588668823242,3.8000428676605225,14.783488273620605,12.41632080078125,13.269567489624023,11.615633964538574,12.729469299316406,9.273311614990234,10.176051139831543,4.920477390289307,4.122474670410156,12.419912338256836,5.518701553344727,5.37106990814209,13.967452049255371,13.743102073669434,6.987331867218018,8.35853099822998,5.3749308586120605,8.37830924987793,5.128345966339111,6.2156596183776855,10.713298797607422,6.8223772048950195,11.482194900512695,9.484138488769531,7.032153129577637,4.925502777099609,6.629867076873779,9.015583038330078,10.518756866455078,13.299016952514648,11.627775192260742,12.383296966552734,15.24979019165039,11.182785034179688,3.6409146785736084,4.774776935577393,9.06992244720459,1.9672526121139526,8.86510181427002,13.781630516052246,14.732514381408691,8.00774097442627,7.3690900802612305,5.937798976898193,9.881267547607422,7.640717506408691,10.892361640930176,14.159117698669434,6.0849504470825195,9.840072631835938,8.539070129394531,4.857088565826416,6.826570987701416
2x1a_a,2.9500086307525635,6.909394264221191,7.183162689208984,15.506141662597656,12.871377944946289,12.865200996398926,4.228338718414307,12.707735061645508,9.033658027648926,6.312596797943115,5.358592987060547,13.032455444335938,2.7833678473143664e-07,11.570837020874023,9.393163681030273,9.145203590393066,7.223445415496826,7.228018283843994,5.294017791748047,14.840802192687988,4.277432441711426,6.215251922607422,4.381580352783203,10.721636772155762,14.064459800720215,4.966739654541016,11.548110008239746,14.365565299987793,3.670234441757202,4.502304553985596,12.721755981445312,8.596440315246582,9.086329460144043,8.302841186523438,4.103696823120117,17.040393829345703,14.455148696899414,12.457521438598633,7.083672046661377,4.778400421142578,5.030138969421387,11.770489692687988,6.285867214202881,8.232168197631836,8.425899505615234,6.964715003967285,12.130900382995605,9.297989845275879,7.592697620391846,4.735671043395996,6.303473949432373,12.497029304504395,8.706673622131348,11.275500297546387,4.782435894012451,8.207070350646973,4.90746545791626,10.182694435119629,8.07156753540039,6.8896379470825195,9.531994819641113,4.427328109741211,6.472468376159668,14.179769515991211,8.330065727233887,6.605449676513672,7.761641979217529,2.905409097671509,10.345976829528809,9.736050605773926,12.092317581176758,6.279289722442627
1j3h_a,11.250493049621582,4.974306106567383,10.890454292297363,9.882062911987305,10.79280948638916,3.482584238052368,6.563445568084717,13.256361961364746,3.4134140014648438,12.562054634094238,6.191582679748535,6.0980119705200195,11.570837020874023,9.137218626165122e-08,5.89015007019043,3.650902509689331,5.400784969329834,9.458680152893066,6.665749549865723,7.582225322723389,8.909768104553223,12.163552284240723,11.558213233947754,9.7916898727417,10.243708610534668,3.9031059741973877,4.650142192840576,2.8906655311584473,13.364664077758789,4.92666482925415,2.847288131713867,14.056127548217773,6.690710544586182,7.184072017669678,3.875864267349243,3.3689632415771484,7.671050071716309,5.445345878601074,3.2516679763793945,3.771787643432617,4.361738681793213,9.141451835632324,9.2621488571167,7.584472179412842,6.47497034072876,8.726133346557617,6.256634712219238,5.534904956817627,9.008902549743652,10.264957427978516,9.441548347473145,11.083365440368652,5.964844226837158,10.210304260253906,4.6342854499816895,8.284950256347656,5.690108299255371,10.985198020935059,12.255029678344727,12.608505249023438,7.247832775115967,10.365893363952637,4.191122531890869,9.272163391113281,6.225726127624512,10.138544082641602,12.904994010925293,2.7327163219451904,7.506004810333252,5.8974151611328125,5.127969264984131,6.593295097351074
1g65_a,7.907903671264648,5.714939117431641,5.711564540863037,8.367222785949707,9.105710983276367,8.257857322692871,9.228811264038086,9.213846206665039,7.4741058349609375,7.073678493499756,9.84216594696045,8.060005187988281,9.393163681030273,5.89015007019043,5.9069645175213736e-08,4.960634231567383,5.35195779800415,10.782920837402344,4.661799907684326,9.15919017791748,8.52138614654541,8.555489540100098,4.244083881378174,9.047158241271973,10.806766510009766,9.443318367004395,6.0531768798828125,9.31310749053955,9.017297744750977,6.852931022644043,5.274128437042236,7.3778181076049805,7.021709442138672,2.960343599319458,9.096137046813965,9.269139289855957,10.533992767333984,10.497980117797852,9.317670822143555,9.276494026184082,7.518622398376465,6.70510721206665,7.052868843078613,8.530464172363281,6.779200553894043,6.030880451202393,7.760119915008545,10.276080131530762,9.216620445251465,6.5072526931762695,6.636623382568359,6.508852958679199,6.764523983001709,5.656410217285156,7.438410758972168,6.421383857727051,8.553670883178711,8.096182823181152,9.380436897277832,8.474781036376953,3.7467172145843506,5.838857173919678,5.195922374725342,9.355952262878418,7.021596431732178,7.815214157104492,8.22037410736084,10.634050369262695,5.533632755279541,5.8505024909973145,7.62177848815918,6.690435886383057
1n1d_a,7.59707498550415,3.054455280303955,9.131409645080566,5.984898090362549,10.283783912658691,6.711317539215088,6.1769561767578125,7.232750415802002,8.049617767333984,7.223476886749268,8.822026252746582,4.870107650756836,9.145203590393066,3.65090274810791,4.960634231567383,2.3546664351670188e-07,5.258248329162598,5.530036449432373,9.043661117553711,12.577313423156738,8.948688507080078,4.271246910095215,8.105310440063477,10.410909652709961,12.249893188476562,3.5597877502441406,7.0551228523254395,8.058412551879883,7.643607139587402,9.020781517028809,9.20145320892334,7.62535285949707,12.434150695800781,3.5226240158081055,4.227643013000488,9.257685661315918,4.544105052947998,4.416952133178711,11.015542030334473,8.715218544006348,8.449317932128906,3.417787551879883,5.304620742797852,7.655422210693359,2.9038782119750977,3.185575008392334,7.131221294403076,4.509156703948975,10.895829200744629,6.079128265380859,7.62439489364624,11.853240013122559,10.897761344909668,9.300268173217773,6.730672359466553,4.5962347984313965,9.717509269714355,5.012939453125,10.490485191345215,10.678296089172363,7.5812668800354,3.9426352977752686,5.933466911315918,6.199126720428467,4.5076165199279785,4.150332927703857,5.195552825927734,4.860342502593994,3.3830997943878174,6.450439929962158,8.188920021057129,6.394838809967041
1mbd_a,9.319343566894531,3.9431469440460205,7.7835211753845215,8.145644187927246,10.578032493591309,7.401341915130615,7.8831586837768555,8.494297981262207,9.091864585876465,6.275372505187988,11.167539596557617,6.794024467468262,7.223445415496826,5.400784969329834,5.35195779800415,5.258248329162598,2.9850943406017905e-07,6.027811527252197,10.382664680480957,10.437748908996582,7.941235542297363,3.5841119289398193,8.415258407592773,8.242517471313477,8.739058494567871,4.4069743156433105,2.601938486099243,5.778575897216797,8.20868968963623,11.595575332641602,5.039331436157227,7.301618576049805,12.369324684143066,4.4844794273376465,3.755542278289795,7.641382217407227,4.082741737365723,3.631152391433716,10.891843795776367,11.062325477600098,9.054967880249023,4.734737873077393,6.5558366775512695,6.385476112365723,4.37100887298584,3.567188024520874,4.888318061828613,4.094688415527344,10.132820129394531,6.6631975173950195,8.837584495544434,8.569494247436523,11.988682746887207,9.626319885253906,2.83933424949646,2.5254147052764893,10.806862831115723,4.334432125091553,9.783512115478516,9.82913875579834,7.0858073234558105,4.356107711791992,3.433729648590088,9.689096450805664,4.644056797027588,4.365923881530762,7.358047008514404,4.182055950164795,4.243277072906494,6.425728797912598,6.898092269897461,6.1106133460998535
1y3a_a,10.86977767944336,11.381630897521973,7.649834156036377,13.775043487548828,5.500876426696777,6.23787260055542,8.346664428710938,3.800286054611206,11.825801849365234,10.65178108215332,6.906662464141846,7.411588191986084,7.228017807006836,9.45867919921875,10.78292179107666,5.530036926269531,6.027810573577881,1.7188087042541156e-07,7.787592887878418,8.113420486450195,10.230024337768555,11.444408416748047,11.541701316833496,3.8312251567840576,4.410309791564941,13.760856628417969,8.890660285949707,8.952401161193848,7.2445502281188965,6.993008613586426,4.086994647979736,14.68819522857666,3.5963501930236816,7.918604373931885,15.861809730529785,6.9798712730407715,4.017596244812012,7.065688610076904,11.080816268920898,3.825972080230713,8.645997047424316,14.956718444824219,14.41589069366455,6.674407958984375,12.335598945617676,10.785175323486328,4.586991786956787,8.754749298095703,3.7639832496643066,5.304319858551025,4.53474235534668,6.499961853027344,5.650296211242676,4.920807361602783,9.000173568725586,12.20324993133545,7.625895023345947,10.315264701843262,10.66720199584961,3.622934103012085,10.206656455993652,5.617430686950684,5.476179599761963,9.045781135559082,7.349712371826172,9.555495262145996,16.740859985351562,14.76624584197998,12.131860733032227,5.048236846923828,5.8300371170043945,11.847752571105957
3a1a_a,6.813465118408203,7.206855297088623,8.732950210571289,5.037622928619385,3.5560243129730225,7.009941577911377,6.533369064331055,3.1379830837249756,4.823476314544678,2.1717562675476074,5.828392028808594,3.8000433444976807,5.294017791748047,6.6657490730285645,4.661799907684326,9.043661117553711,10.382664680480957,7.787592887878418,5.83794701469742e-07,11.710098266601562,11.172659873962402,3.4362194538116455,7.6566643714904785,12.044095993041992,14.131511688232422,7.917041301727295,4.550806045532227,7.789546966552734,7.115874767303467,4.925042152404785,10.979833602905273,8.427092552185059,10.579837799072266,9.792096138000488,9.07487964630127,8.016122817993164,4.74946928024292,3.4079184532165527,10.808448791503906,3.392775058746338,10.82226276397705,3.7511560916900635,8.551865577697754,10.459922790527344,5.072790622711182,9.128875732421875,6.932890892028809,7.998331546783447,10.209565162658691,10.720226287841797,7.650784492492676,7.359893798828125,11.296133041381836,3.5120415687561035,10.640759468078613,3.091231107711792,3.711278200149536,4.743340969085693,11.974199295043945,7.505003929138184,10.977165222167969,10.037979125976562,10.874685287475586,5.367982387542725,9.404572486877441,4.22603178024292,5.241090774536133,12.025982856750488,6.9546027183532715,9.17080020904541,8.584951400756836,9.071544647216797
1b10_a,8.16694450378418,7.631418228149414,7.159773349761963,15.513412475585938,3.3586299419403076,14.703417778015137,4.126184463500977,4.517887592315674,5.017178058624268,12.752100944519043,3.718855381011963,14.783486366271973,14.840803146362305,7.582225799560547,9.15919017791748,12.577313423156738,10.437748908996582,8.113420486450195,11.710099220275879,0.0,5.865872383117676,7.417875289916992,6.40264368057251,3.5027384757995605,3.4398839473724365,8.203484535217285,4.970632076263428,7.5391459465026855,12.982566833496094,15.601081848144531,12.658187866210938,1.9953465461730957,11.914546966552734,8.541738510131836,6.883502960205078,2.18866229057312,11.960137367248535,6.201230049133301,7.15029764175415,7.484597206115723,11.311422348022461,8.628281593322754,4.60883903503418,7.043309211730957,6.803253173828125,5.573761940002441,7.625935077667236,11.749624252319336,4.881012439727783,4.804922580718994,12.945113182067871,7.9290595054626465,11.233307838439941,8.275995254516602,4.852786540985107,10.685003280639648,3.9720892906188965,5.733954429626465,4.506071090698242,12.969741821289062,11.416118621826172,7.067996978759766,11.417957305908203,14.952585220336914,9.093348503112793,11.427032470703125,9.951393127441406,6.048494338989258,5.495042324066162,6.584452152252197,8.877251625061035,7.986786365509033
